Country Name,Event,Language,Region,annotation_id,no GG detected,region_specification,Theme_Combined,Year,Cumulative CO2,GDP_capita,Annual_Capita_CO2_Consumption,HDI,HDI_Level,LDC,SIDS
Bahamas,COP26,en,North America,235,,,NG,2021,0.0098554585,28260.4325506367,5.149713,0.82,Very High,No,Yes
Dominica,COP26,en,North America,252,Yes,,NG,2021,0.00028718013,7668.15813216962,2.0959618,0.74,High,No,Yes
Grenada,COP26,en,North America,261,Yes,,NG,2021,0.00049459847,9010.5127999358,2.6466973,0.793,High,No,Yes
Jamaica,COP26,en,North America,268,Yes,,NG,2021,0.026405595,5183.5810181201,2.337014,0.706,High,No,Yes
Saint Vincent and the Grenadines,COP26,en,North America,310,Yes,,NG,2021,,8360.0642393726,2.2671938,0.772,High,No,Yes
Trinidad and Tobago,COP26,en,North America,314,Yes,LDC,NG,2021,0.09235498,16056.3020409273,23.289734,0.814,Very High,No,Yes
Honduras,COP26,translated,North America,326,Yes,,NG,2021,0.01564998,2771.72265387572,1.0541441,0.624,Medium,No,No
Mexico,COP26,translated,North America,327,Yes,,NG,2021,1.1872612,10359.1498625832,3.6998608,0.781,High,No,No
Panama,COP26,translated,North America,329,Yes,,NG,2021,0.018518068,15491.2898013383,2.6906164,0.82,Very High,No,No
Haiti,COP26,translated,North America,343,Yes,,NG,2021,0.0045001693,1823.74222445285,0.2118702,0.552,Medium,Yes,Yes
Antigua and Barbuda,COP27,en,North America,400,Yes,,NG,2022,0.0014349581,19919.7266867883,6.4218745,0.826,Very High,No,Yes
Belize,COP27,en,North America,410,Yes,,NG,2022,0.0011604439,6984.21695968163,1.7894346,0.7,High,No,Yes
Canada,COP27,translated,North America,480,Yes,,NG,2022,1.952385,55522.445687688,14.249212,0.935,Very High,No,No
Haiti,COP27,translated,North America,485,Yes,,NG,2022,0.004543877,1748.25713229469,0.21119381,0.552,Medium,Yes,Yes
Bahamas,COP28,en,North America,505,Yes,,NG,2022,0.009768521,31458.300811739,5.1708703,0.82,Very High,No,Yes
Barbados,COP28,en,North America,506,Yes,,NG,2022,0.0039528906,20238.7842420154,4.3772573,0.809,Very High,No,Yes
Belize,COP28,en,North America,509,Yes,,NG,2022,0.0011604439,6984.21695968163,1.7894346,0.7,High,No,Yes
Costa Rica,COP28,en,North America,515,Yes,,NG,2022,0.015104514,13365.3563992692,1.5226681,0.806,Very High,No,No
Jamaica,COP28,en,North America,530,Yes,,NG,2022,0.026218217,6047.2164567796,2.2945588,0.706,High,No,Yes
Canada,COP28,translated,North America,593,Yes,,NG,2022,1.952385,55522.445687688,14.249212,0.935,Very High,No,No
